"Name","Classification","Homepage","SocialMedia","Locality","Lat","Lng","Address","Country","Description","SupportRequest","SupportOffer","Hotline","Tags","Notes","ListingSource","ListingSourceId","ListingSourceUpdated"
"Supporting Frederick, Maryland Small Businesses Through Covid-19","FacebookMutualAid","https://www.facebook.com/groups/FrederickCoronaResponse/?ref=br_rs","https://www.facebook.com/groups/FrederickCoronaResponse/?ref=br_rs","Fredrick, MD",39.4144,-77.4106,"Frederick, Maryland, USA","USA","","","","","","","mutualaidhub.org","758",
"Albuquerque, What do you need?","","https://docs.google.com/forms/d/e/1FAIpQLSeGo_Doo8bczJ1L0F7RKU76eTTUaqqbdljGtVMM1H08_JKqCQ/viewform?fbclid=IwAR3F9-CJ9hkLCbFxZinlGkLkMQoJ61NaWWg_Q36FIBPbyDsSxdesDoxCeWA","","Albuquerque, NM",35.0841,-106.651,"Albuquerque, New Mexico, USA","USA","","","","","","","mutualaidhub.org","759",
"HGSU COVID-19 Assistance Request & Volunteer Form","","https://docs.google.com/forms/d/e/1FAIpQLSegRedWMV9Mbz3C-QO1wrthrOv5lgHfV9y-v3EPIBUDzyWS3g/viewform?link_id=0&can_id=1c65141e56529df26d0674ba2adc42dc&source=email-new-covid-19-assistance-request-volunteer-form-and-other-resources&email_referrer=email_747884&email_subject=new-covid-19-assistance-request-volunteer-form-and-other-resources&fbzx=799117970475840452","","Cambridge, MA",42.3751,-71.1056,"Cambridge, Massachusetts, United States","USA","","","https://docs.google.com/forms/d/e/1FAIpQLSegRedWMV9Mbz3C-QO1wrthrOv5lgHfV9y-v3EPIBUDzyWS3g/viewform?link_id=0&can_id=1c65141e56529df26d0674ba2adc42dc&source=email-new-covid-19-assistance-request-volunteer-form-and-other-resources&email_referrer=email_747884&email_subject=new-covid-19-assistance-request-volunteer-form-and-other-resources&fbzx=799117970475840452","","","","mutualaidhub.org","760",
"Rutland County Mutual Aid","","https://sites.google.com/view/rutvtmutualaid?fbclid=IwAR0DE58yEqe4umAUwOyykjcLR6P7188uL5V7En2LCEH2mFiJeZTQlKNXcIM","","Rutland, VT",43.6106,-72.9726,"Rutland, Vermont, USA","USA","","","https://docs.google.com/forms/d/e/1FAIpQLSfhRQdUOXzUF-VhFgsmlqlDzNW4QMEqMr1ALtEzz_blzO3HGA/viewform","","","","mutualaidhub.org","761",
"Share The Care - Connecticut","FacebookMutualAid","http://www.facebook.com/sharethecareandlove","http://www.facebook.com/sharethecareandlove","Ansonia, CT",41.343,-73.0787,"Ansonia, Connecticut, USA","USA","","","","","","","mutualaidhub.org","762",
"COVID 19 North Country Neighbors Helping Neighbors","FacebookMutualAid","https://www.facebook.com/groups/539812396667366/","https://www.facebook.com/groups/539812396667366/","Plattsburgh, NY",44.6928,-73.4556,"Plattsburgh, New York, USA","USA","","https://docs.google.com/forms/d/e/1FAIpQLSfnqN_S0R75zyJSMZ9F-2yLw4r_qF2OcY8pd2TfUmv6ETsSIA/viewform","","","","","mutualaidhub.org","763",
"Lawrence Mutual Aid Network","FacebookMutualAid","https://www.facebook.com/lfkmutual/","https://www.facebook.com/lfkmutual/","Lawrence, KS",38.9719,-95.2359,"Lawrence, Kansas, United States","USA","","https://airtable.com/shrByTwSPRXqze4aC","https://airtable.com/shrt5WWjMDOKCLSdV","","","","mutualaidhub.org","764",
"Caremongering Detroit","FacebookMutualAid","https://www.facebook.com/groups/caremongeringdetroit/","https://www.facebook.com/groups/caremongeringdetroit/","Detroit, MI",42.3487,-83.0567,"Detroit, Michigan, United States","USA","","","https://www.facebook.com/groups/caremongeringdetroit/","","","","mutualaidhub.org","765",
"Columbia SC Mutual Aid","FacebookMutualAid","https://www.facebook.com/groups/174031214047287/","https://www.facebook.com/groups/174031214047287/","Columbia, SC",34.0007,-81.0343,"Columbia, South Carolina, United States","USA","","https://docs.google.com/forms/d/e/1FAIpQLSdw14ceghA97Q1zHmJ4xO6iMp93ZR1duxBXRJyczqj_YLp_2Q/viewform","https://docs.google.com/forms/d/e/1FAIpQLSd1AN6ebit6-tk1z1_Cq02UUMZUzhPNlWx5J62949ISLz3FIA/viewform?fbclid=IwAR3vUiGl1RMjiBb3U1bfBZ-AqWmwBkTjYF1DxMn_wzO0VUPPjZu_tBsdj68","","","","mutualaidhub.org","766",
"Common Stash: Mutual Aid in So-called Olympia","","https://www.commonstash.org/","","Olympia, WA",47.045,-122.8949,"Olympia, Washington, USA","USA","","","","","","","mutualaidhub.org","767",
"HelpAroundTown","","https://www.helparoundtown.com","https://www.facebook.com/HelpAroundTown/","Lexington, MA",42.4473,-71.2245,"Lexington, Massachusetts, United States","USA","","https://www.helparoundtown.com/help","https://www.helparoundtown.com/jobs","","","","mutualaidhub.org","768",
"Help Needed in Albuquerque COVID-19","FacebookMutualAid","https://www.facebook.com/groups/247465889623611/?multi_permalinks=247582216278645&notif_id=1584646671177003&notif_t=feedback_reaction_generic","https://www.facebook.com/groups/247465889623611/?multi_permalinks=247582216278645&notif_id=1584646671177003&notif_t=feedback_reaction_generic","Albuquerque, NM",35.0841,-106.651,"Albuquerque, New Mexico, USA","USA","","","","","","","mutualaidhub.org","769",
"Okemah Helping Hands","FacebookMutualAid","https://www.facebook.com/groups/1095919797417666/","https://www.facebook.com/groups/1095919797417666/","Okemah, OK",35.4326,-96.305,"Okemah, Oklahoma, USA","USA","","","","","","","mutualaidhub.org","770",
"Worcester Covid-19 Mutual Aid","","https://docs.google.com/forms/d/1HBrK1QB1W1ES2G2K6sdA51stmscdKohyC6R3zMXni2I/viewform?ts=5e6f6182&edit_requested=true","","Worcester, VT",44.3737,-72.5498,"Worcester, Vermont, USA","USA","","https://docs.google.com/forms/d/1i-ajw5xGi2ybiowBL1UvzyXoWl6EgbJL679ImBQscJY/viewform?ts=5e6f61bd&edit_requested=true","https://docs.google.com/forms/d/1HBrK1QB1W1ES2G2K6sdA51stmscdKohyC6R3zMXni2I/viewform?ts=5e6f6182&edit_requested=true","","","","mutualaidhub.org","771",
"Lynn MA Mutual Aid Disaster Relief","FacebookMutualAid","https://www.facebook.com/groups/242220393479479/","https://www.facebook.com/groups/242220393479479/","Lynn, MA",42.4668,-70.9495,"Lynn, Massachusetts, USA","USA","","","","","","","mutualaidhub.org","772",
"Covid-19-South Florida-Radical Mutual Aid","FacebookMutualAid","https://www.facebook.com/groups/211545970124496/","https://www.facebook.com/groups/211545970124496/","Fort Lauderdale, FL",26.1223,-80.1434,"Fort Lauderdale, Florida, United States","USA","","","","","","","mutualaidhub.org","773",
"Boulder Coronavirus Community Coping Crew","FacebookMutualAid","https://www.facebook.com/groups/199467514668513/?ref=share","https://www.facebook.com/groups/199467514668513/?ref=share","Boulder, CO",40.015,-105.2705,"Boulder, Colorado, USA","USA","","","","","","","mutualaidhub.org","774",
"Georgia Tech Mutual Aid Group","","https://docs.google.com/document/d/1_bJq94j3p2n-lDoETOH7wzhACjjmgw9l23QpbCa0Cag/edit","","Atlanta, GA",33.7491,-84.3902,"Atlanta, Georgia, USA","USA","","","","","","","mutualaidhub.org","775",
"Pilsen Vecinos Unidos: COVID-19 Neighborhood Volunteers","FacebookMutualAid","https://www.facebook.com/groups/1508709089408538/permalink/2622532194692883/","https://www.facebook.com/groups/1508709089408538/permalink/2622532194692883/","Chicago, IL",41.8756,-87.6244,"Chicago, Illinois, United States","USA","","","","","","","mutualaidhub.org","776",
"COVID-19 Mutual Aid Group Phoenix Metro Area","","https://www.mutualaidphx.com/","https://www.facebook.com/groups/144504496872461/145065600149684/","Phoenix, AZ",33.4486,-112.0773,"Phoenix, Arizona, USA","USA","","","","","","","mutualaidhub.org","777",
"Mutual Aid of NY Southern Adirondacks","FacebookMutualAid","https://www.facebook.com/groups/1573307162820055/","https://www.facebook.com/groups/1573307162820055/","Gloversville, NY",43.0528,-74.3437,"Gloversville, New York, United States","USA","","","","","","","mutualaidhub.org","778",
"California / East Bay: East Bay Disabled Folks COVID-19 Support Request Form","","https://docs.google.com/forms/d/e/1FAIpQLSc7LLhYN243k6xFlmQH26lAN9EoRXgEQGrghbqL8Ttc1K8YNA/viewform","","East Bay, Oakland, CA",37.8045,-122.2714,"Oakland, California, United States","USA","","","https://docs.google.com/forms/d/e/1FAIpQLSc7LLhYN243k6xFlmQH26lAN9EoRXgEQGrghbqL8Ttc1K8YNA/viewform","","","","mutualaidhub.org","779",
